%Wavelength (nm)	HBO2	HB	Water (mm-1)	Lipid (mm^-1)
1076	0	0	0.01424805	0.004874452
1078	0	0	0.0143771	0.004838343
1080	0	0	0.0144281	0.004811887
1082	0	0	0.0147498	0.004800826
1084	0	0	0.0151863	0.004801971
1086	0	0	0.015466633	0.004755416
1088	0	0	0.01582325	0.004771839
1090	0	0	0.01631295	0.004801926
1092	0	0	0.0167625	0.004783397
1094	0	0	0.0171151	0.004788502
1096	0	0	0.0177718	0.004876005
1098	0	0	0.018655	0.004909274
