time,mua685nm,mua785nm,mua830nm,mua850nm,mua915nm,mua975nm,mus685nm,mus785nm,mus830nm,mus850nm,mus915nm,mus975nm,HbO2,HHb,Water,Fat
7.704,0.00063653406,0.00078087562,0.00098323466,0.0011539323799999999,0.01404372874,0.0350286969,2.9942761794,2.99648248054,2.9988769473600003,2.9983552947999996,2.9989191617,2.9984236398000004,66.99529342768062,-22.69390436529597,42.396902025377194,57.603097974622806
7.734,0.0006392751599999999,0.00077853636,0.00098323466,0.0011489812800000003,0.014007539860000001,0.036551867599999996,2.9964407991999997,2.99567397912,2.9988769473600003,2.99748955912,2.9992626459999996,2.99692578412,69.09403212331955,-23.59675630037361,44.396837122315205,55.603162877684795
7.764,0.0006392751599999999,0.0007866160599999999,0.00098323466,0.0011555974400000002,0.01401369262,0.041579100880000004,2.9964407991999997,2.99579834634,2.9988769473600003,2.9985357097399996,2.99934423132,2.9971745533,76.20641753478,-26.619034511750538,50.556987888384285,49.44301211161572
7.794,0.0006381876199999999,0.00077853636,0.00098323466,0.0011500145400000002,0.014173807859999998,0.03393936966,2.9943067285200002,2.99567397912,2.9988769473600003,2.99777426376,2.9992640575,2.9982650998200002,65.60173638659526,-22.063468311018724,40.66132030359016,59.33867969640985
7.824,0.00063653406,0.00078115744,0.00098323466,0.00115001454,0.014034881240000002,0.03617627564,2.9942761794,2.99741826196,2.9988769473600003,2.99777426376,2.9992384463,2.99862001888,68.60127836065367,-23.381459860776975,43.845394030125355,56.15460596987466
7.854,0.0006350584199999999,0.00078008584,0.00098323466,0.00115243768,0.01404372874,0.03782738854,2.9959939968800002,2.9953724913800004,2.9988769473600003,2.99805190014,2.9989191616999995,2.9990769758000004,70.94638052992474,-24.379905463784183,45.85388386030188,54.14611613969811
7.884,0.0006375216799999999,0.0007766704800000001,0.00098323466,0.00114501794,0.014152685339999999,0.042046889399999995,2.99491813152,2.99579795994,2.9988769473600003,2.99742163432,2.99918369142,2.9975495675199997,77.01743509567049,-26.935590140233636,50.630798338448436,49.36920166155158
7.914,0.00063698632,0.00077853636,0.00098245808,0.00115001454,0.0141381843,0.030950881220000004,2.99363234236,2.99567397912,2.9987921921400003,2.99777426376,2.9987451233,2.99864416994,61.3428985406964,-20.26122935932415,37.06127120772455,62.93872879227544
7.944,0.00063698632,0.0007661149000000001,0.00098245808,0.00114334874,0.01398897774,0.03401321040000001,2.99363234236,2.99853086798,2.9987921921400003,2.99788209,2.99957526758,2.99965516718,65.48239853331299,-22.074584658909412,41.302219006930436,58.69778099306957
7.975,0.0006381876199999999,0.0007816540999999999,0.00098323466,0.0011489812799999998,0.01407377952,0.03447828008,2.9943067285200002,2.99745834402,2.9988769473600003,2.99748955912,2.99973891414,2.9984557556800007,66.24631682634002,-22.365003835610104,41.6238914673611,58.3761085326389
8.011,0.00064025184,0.00078008584,0.00098323466,0.0011489812800000003,0.014159510919999998,0.0371221724,2.99715765778,2.9953724913800004,2.9988769473600003,2.99748955912,2.9989472856800004,2.9972204633,70.07452444800002,-23.969444285088173,44.613703496640824,55.386296503359176
8.041,0.00063653406,0.00078087562,0.0009820939799999998,0.0011539323799999997,0.014112049299999999,0.03719574514,2.9942761794,2.99648248054,2.99901631912,2.9983552948000005,2.99907042122,2.9981599824800003,70.13265393840366,-24.01144937105605,44.85562128355651,55.144378716443484
8.071,0.00064025184,0.00077853636,0.00098323466,0.0011489812800000003,0.014215079080000002,0.04064991206,2.99715765778,2.99567397912,2.9988769473600003,2.99748955912,2.9996228124399997,2.99886112572,75.11832686072125,-26.103134191869195,48.7220609010879,51.27793909891209
8.101,0.0006375216799999999,0.00078103596,0.00098323466,0.0011489812800000003,0.013981678619999998,0.03856321012,2.99491813152,2.9973053286200004,2.9988769473600003,2.99748955912,2.99959114232,2.99821264892,71.90649870917154,-24.80338188676445,46.967045090089776,53.03295490991021
8.131,0.00063653406,0.00078087562,0.00098323466,0.0011539323799999999,0.014011052899999998,0.035010988800000004,2.9942761794,2.99648248054,2.9988769473600003,2.9983552947999996,2.99932029994,2.9989833782199997,66.93237271591013,-22.676312961932037,42.47525676056349,57.52474323943652
8.167,0.0006404194,0.00078052522,0.00098065348,0.001141501,0.01402285164,0.03396237488,2.99760303576,2.9958069235600004,2.9978846356799997,2.99811435732,2.99909039896,2.9993156580799996,65.44609722036894,-22.038659041201587,41.136932459873414,58.86306754012659
8.199,0.00064025184,0.00078115744,0.00098065348,0.0011489812800000003,0.013890916579999999,0.0323222513,2.99715765778,2.99741826196,2.99788463568,2.99748955912,2.9991599102200004,2.9995681213600003,62.985372679692276,-21.025500744358347,39.47160902434151,60.52839097565849
8.235,0.00063653406,0.0007816540999999999,0.00098065348,0.0011489812800000003,0.014281592979999999,0.033743466580000006,2.9942761794,2.99745834402,2.99788463568,2.99748955912,2.99930715874,2.9976870353,65.45045850522371,-21.970484072301563,40.108940141749756,59.89105985825024
8.267,0.0006393614399999999,0.0007785363599999999,0.00098323466,0.00115001454,0.014236167459999999,0.03501750638,2.9976275622800004,2.99567397912,2.9988769473600003,2.99777426376,2.99951277218,2.99863950242,67.19433524268878,-22.722650046682066,41.8011242776613,58.198875722338705
8.297,0.00063653406,0.00078115744,0.00098323466,0.0011539323799999997,0.014212397679999999,0.033676237719999995,2.9942761794,2.99741826196,2.9988769473600003,2.9983552948000005,2.99973508506,2.998181741,65.2819985510064,-21.916372968845934,40.22492236043277,59.77507763956723
8.327,0.0006381876199999999,0.00077853636,0.00098323466,0.00115138414,0.013939167859999999,0.03618241714,2.9943067285200002,2.99567397912,2.9988769473600003,2.99809567854,2.9990803443,2.99909742376,68.49702247623458,-23.36259901913883,44.1571377855656,55.84286221443438
8.357,0.00063653406,0.0007732204000000001,0.00098323466,0.0011500145400000002,0.01412161382,0.03561968106,2.9942761794,2.9972564691600003,2.9988769473600003,2.99777426376,2.99899521442,2.9981648924999997,67.91386393197605,-23.068073192701192,42.88837281745337,57.11162718254662
8.386,0.00063653406,0.0007854565800000001,0.00097885966,0.0011489812800000003,0.01414467482,0.03395546986,2.9942761794,2.99655214084,2.99754678658,2.99748955912,2.9992269672399994,2.99834924264,65.5904650199404,-22.067379042750794,40.767378095655246,59.232621904344754
8.416,0.00063653406,0.00078103596,0.0009813807800000001,0.0011489812799999998,0.01392845928,0.03397329756,2.9942761794,2.9973053286200004,2.9985565571,2.99748955912,2.99919702126,2.9992709761199996,65.36545844376255,-22.033923639504202,41.43414528086223,58.56585471913777
8.452,0.0006392751599999999,0.00077853636,0.00098245808,0.00115559744,0.01407377952,0.03324896241999999,2.9964407991999997,2.99567397912,2.9987921921400003,2.9985357097399996,2.99973891414,2.99910412594,64.51421487111696,-21.625555653187504,40.098552610503106,59.90144738949689
8.484,0.00064025184,0.00077853636,0.00098065348,0.0011489812799999998,0.01399847458,0.035574974860000004,2.99715765778,2.99567397912,2.9978846356799997,2.99748955912,2.9993851278799997,2.99821743838,67.7009787941251,-23.005252031192118,43.21508253245852,56.784917467541476
8.514,0.00063698632,0.00077398954,0.00098138078,0.0011489812800000003,0.014319813740000001,0.035578937719999995,2.99363234236,2.99646223152,2.9985565571,2.99748955912,2.99969455692,2.9990608929600002,68.08343293135698,-23.08423137357326,42.236863001157836,57.76313699884217
8.544,0.00063653406,0.00077853636,0.00098323466,0.0011489812800000003,0.01414791526,0.036558816439999996,2.9942761794,2.99567397912,2.9988769473600003,2.99748955912,2.9991369225599995,2.9982415975400003,69.27068403486076,-23.636319946876895,43.9606221532403,56.039377846759706
8.574,0.0006375216799999999,0.0007904707800000001,0.00098323466,0.0011489812799999998,0.01407377952,0.03782054446000001,2.99491813152,2.99653949942,2.9988769473600003,2.99748955912,2.99973891414,2.9992994647800004,70.96787663830906,-24.372945816412756,45.74649814558027,54.253501854419724
8.604,0.0006381876199999999,0.00078265704,0.00098245808,0.0011489812800000003,0.0141780192,0.031723893520000004,2.9943067285200002,2.99726712926,2.9987921921400003,2.99748955912,2.99939264076,2.99801542012,62.478847480705404,-20.73045549663937,37.91217763285893,62.08782236714108
8.634,0.0006375216799999999,0.00078115744,0.0009813807800000001,0.00115138414,0.01419900594,0.03500658032,2.99491813152,2.99741826196,2.9985565571,2.99809567854,2.99940189268,2.99840473236,67.1389734714884,-22.71102890408548,41.89927311067056,58.10072688932942
8.664,0.00063653406,0.0007816540999999999,0.0009803332400000002,0.0011489812799999998,0.014215079080000002,0.034464232780000006,2.9942761794,2.99745834402,2.99792703312,2.99748955912,2.9996228124399997,2.99778688036,66.39043262050114,-22.38974551879259,41.186251296653744,58.81374870334627
8.694,0.0006350584199999999,0.0007696151999999999,0.00098138078,0.00115001454,0.01434079842,0.03889996356,2.9959939968800002,2.99849288292,2.9985565571,2.99777426376,2.99940371188,2.99799584258,72.79820010059667,-25.09134405095594,46.19205695746684,53.807943042533154
8.725,0.00063653406,0.0007732204000000001,0.00098323466,0.0011489812799999998,0.014204653120000002,0.03233585366,2.9942761794,2.9972564691600003,2.9988769473600003,2.99748955912,2.9996653148000005,2.9989429163,63.37378124907244,-21.110927723099188,38.59559156047421,61.40440843952578
8.754,0.00063653406,0.0007816540999999999,0.00098065348,0.0011489812799999998,0.014170698,0.03208619412,2.9942761794,2.99745834402,2.99788463568,2.99748955912,2.99939798162,2.9990807900600003,62.98233861238332,-20.95036018648464,38.381596548864024,61.618403451135976
8.784,0.00063653406,0.0007732204000000001,0.00098245808,0.00115001454,0.01426438256,0.03782054446000001,2.9942761794,2.9972564691600003,2.9987921921400003,2.99777426376,2.9993085688999996,2.9992994647800004,71.18566629135978,-24.421794675683845,45.13171559881128,54.86828440118872
8.814,0.0006392751599999999,0.00078265704,0.00098065348,0.0011500145400000002,0.01414791526,0.036511682700000006,2.9964407992,2.99726712926,2.9978846356799997,2.99777426376,2.9991369225599995,2.9969819707600003,69.20030974042677,-23.600897920663108,43.902696393554685,56.097303606445315
8.844,0.00063653406,0.00078115744,0.00098245808,0.0011489812799999998,0.014063540200000002,0.03442754142,2.9942761794,2.99741826196,2.9987921921400003,2.99748955912,2.99952265694,2.9983006983000005,66.16438046046648,-22.335800244614916,41.592169545771675,58.40783045422834
8.874,0.00063653406,0.0007810359599999999,0.00098065348,0.0011489812799999998,0.014225133400000001,0.03617627564,2.9942761794,2.9973053286200004,2.99788463568,2.99748955912,2.99937002312,2.99862001888,68.81891084556192,-23.421622231976873,43.252521501829634,56.74747849817038
8.91,0.0006289304,0.00078115744,0.00098138078,0.00115243768,0.014391297960000002,0.03780671358,2.9942585633,2.99741826196,2.9985565571,2.99805190014,2.9996198182000002,2.99887010366,71.32813487844344,-24.45324191693173,44.71413652042159,55.28586347957841
8.942,0.00063337708,0.00077853636,0.00098323466,0.00115243768,0.01438807024,0.04149689574,2.9942289157,2.99567397912,2.9988769473600003,2.99805190014,2.9995301711400004,2.99884281266,76.52786126729616,-26.66361232440226,49.14886427743988,50.851135722560116
8.972,0.00062745056,0.0007816540999999999,0.00098323466,0.0011489812800000003,0.014328270379999999,0.03323522382,2.9967493300599997,2.99745834402,2.9988769473600003,2.99748955912,2.9994331821599998,2.99800759994,64.80233923633251,-21.693367079185666,39.35507846150564,60.64492153849436
9.002,0.0006302151600000001,0.00078008584,0.00098138078,0.0011500145400000002,0.014187561000000001,0.03394639142,2.99543873874,2.9953724913800004,2.9985565571,2.99777426376,2.9994615489800003,2.99803832042,65.63794031992909,-22.086095569445344,40.63091188634257,59.36908811365742
9.032,0.00063123128,0.0007766704800000001,0.00098323466,0.0011500145400000002,0.01409419692,0.0371539087,2.9956857052400006,2.99579795994,2.9988769473600003,2.99777426376,2.9988550795,2.99798692774,70.05639120761325,-23.99431841830738,44.862498728768905,55.13750127123108
